datetime	tstart	tfinish	type	group	site	treatment	block	temp.C	pres.kPA	PAR	NEE	Rsqd
11.08.2016 14:21	10	90	photo	inge	elev3500	tt2	7	25,56	65,65	727,42	-5,65	0,96
11.08.2016 13:22	60	140	photo	inge	elev3500	tt2	5	30,21	65,91	2565,84	0	0
11.08.2016 13:16	10	110	resp	inge	elev3500	tt0	6	28,61	65,97	9,16	-9,73	0,97
11.08.2016 14:17	10	80	resp	inge	elev3500	tt0	7	26,61	65,65	5,18	-6,23	0,98
11.08.2016 13:13	40	100	photo	inge	elev3500	tt0	6	28,61	65,97	642,62	-7,25	0,96
11.08.2016 13:33	10	130	resp	inge	elev3500	tt1	6	31,56	65,84	8,41	-11,23	0,98
13.08.2016 10:15	10	100	photo	inge	elev4100	tt0	4	19,11	60,87	1609,17	0,78	0,49
13.08.2016 10:08	10	90	photo	inge	elev4100	tt2	4	19,11	60,87	296,33	-0,7	0,63
13.08.2016 09:30	10	150	photo	inge	elev4100	c	5	19,11	60,87	266,80	0,48	0,68
13.08.2016 09:22	80	150	photo	inge	elev4100	otc	5	19,11	60,87	276,41	0,96	0,86
13.08.2016 10:00	50	130	photo	inge	elev4100	tt0	5	19,11	60,87	1390,85	6,06	0,99
13.08.2016 09:45	90	150	photo	inge	elev4100	tt2	5	19,11	60,87	419,85	-1,45	0,86
13.08.2016 09:53	50	110	photo	inge	elev4100	tt4	5	19,11	60,87	556,30	-1,69	0,74
13.08.2016 10:11	10	100	resp	inge	elev4100	tt2	4	19,11	60,87	1,95	-3,66	0,95
13.08.2016 09:34	30	120	resp	inge	elev4100	c	5	19,11	60,87	1,10	-1,18	0,9
13.08.2016 09:41	10	100	resp	inge	elev4100	otc	4	19,11	60,87	1,60	-6,19	0,99
13.08.2016 09:25	10	90	resp	inge	elev4100	otc	5	19,11	60,87	2,06	-3,5	0,95
13.08.2016 10:04	10	80	resp	inge	elev4100	tt0	5	19,11	60,87	3,08	-5,92	0,92
13.08.2016 09:48	20	80	resp	inge	elev4100	tt2	5	19,11	60,87	2,25	-3,58	0,93
13.08.2016 09:56	10	90	resp	inge	elev4100	tt4	5	19,11	60,87	1,19	-4,25	0,96
13.08.2016 10:29	10	70	photo	inge	elev4100	c	4	18,61	60,87	1107,25	6,17	0,97
13.08.2016 10:36	20	100	photo	inge	elev4100	tt4	3	17,68	60,87	1506,44	1,9	0,79
13.08.2016 10:22	70	140	photo	inge	elev4100	tt4	4	19,11	60,87	1454,30	-1,23	0,68
13.08.2016 12:12	10	100	photo	inge	elev4100	c	3	19,07	60,86	1473,61	2,63	0,82
13.08.2016 12:19	70	130	photo	inge	elev4100	otc	3	20,6	60,86	1069,48	5,81	0,92
13.08.2016 11:39	10	90	photo	inge	elev4100	tt0	1	19,61	60,83	1475,90	8,11	0,99
